array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[316, 262,  13]]], dtype=uint16)
array([[[320, 262,  12]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[320, 264,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[316, 264,  13]]], dtype=uint16)
array([[[318, 262,  10]]], dtype=uint16)
array([[[320, 262,  14]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[316, 262,  14]]], dtype=uint16)
array([[[320, 264,  14]]], dtype=uint16)
array([[[320, 264,  16]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 262,  15],
        [298, 104,  14]]], dtype=uint16)
array([[[316, 262,  12]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  14]]], dtype=uint16)
array([[[320, 264,  14]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  12]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  16]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  14]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 264,  14]]], dtype=uint16)
array([[[318, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 262,  12]]], dtype=uint16)
array([[[318, 262,  15],
        [298, 102,  13]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 264,  13]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 264,  14]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[316, 260,  13]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 260,  13]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 264,  13]]], dtype=uint16)
array([[[320, 264,  14]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15],
        [298, 104,  14]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 262,  12]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[316, 260,  11]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[320, 264,  14]]], dtype=uint16)
array([[[320, 264,  14]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  16]]], dtype=uint16)
array([[[316, 264,  12]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  16]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 264,  14]]], dtype=uint16)
array([[[320, 264,  13]]], dtype=uint16)
array([[[316, 264,  13]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 262,  16]]], dtype=uint16)
array([[[320, 262,  11]]], dtype=uint16)
array([[[316, 262,  12]]], dtype=uint16)
array([[[316, 264,  14]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[320, 264,  13]]], dtype=uint16)
array([[[318, 260,  13]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[318, 262,  15]]], dtype=uint16)
array([[[316, 264,  14]]], dtype=uint16)
array([[[320, 262,  15]]], dtype=uint16)
array([[[318, 264,  15]]], dtype=uint16)

